org.apache.lucene:lucene-memory,6.6.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
org.apache.lucene:lucene-misc,6.6.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
org.apache.lucene:lucene-queries,6.6.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
org.apache.lucene:lucene-queryparser,6.6.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
org.apache.lucene:lucene-sandbox,6.6.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
org.apache.lucene:lucene-spatial,6.6.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
org.apache.lucene:lucene-spatial-extras,6.6.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
org.apache.lucene:lucene-spatial3d,6.6.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
org.apache.lucene:lucene-suggest,6.6.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
org.apache.shiro:shiro-core,1.2.3,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
org.apache.shiro:shiro-web,1.2.3,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
org.apache.tomcat:tomcat-jdbc,8.5.9,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
org.apache.tomcat:tomcat-juli,8.5.9,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
org.assertj:assertj-core,3.6.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
org.basepom:basepom-foundation,15,unknown,"",Not approved,Gradle,""
org.bouncycastle:bcpkix-jdk15on,1.55,Bouncy Castle Licence,"",Not approved,Gradle,""
org.bouncycastle:bcprov-jdk15on,1.55,Bouncy Castle Licence,"",Not approved,Gradle,""
org.bouncycastle:bcprov-jdk16,1.46,Bouncy Castle Licence,"",Not approved,Gradle,""
org.codehaus.mojo:animal-sniffer-annotations,1.14,MIT,http://opensource.org/licenses/mit-license,Approved,Gradle,""
org.codehaus.woodstox:stax2-api,3.1.4,The BSD License,"",Approved,Gradle,""
org.drools:drools-compiler,7.1.0.Final,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
org.drools:drools-core,7.1.0.Final,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
org.eclipse.jdt.core.compiler:ecj,4.4.2,Eclipse Public License v1.0,"",Not approved,Gradle,""
org.eclipse.jetty.toolchain.setuid:jetty-setuid-java,1.0.3,"Apache Software License - Version 2.0,Eclipse Public License - Version 1.0",",",Not approved,Gradle,""
org.eclipse.jetty:jetty-continuation,9.4.2.v20170220,"Apache Software License - Version 2.0,Eclipse Public License - Version 1.0",",",Not approved,Gradle,""
org.eclipse.jetty:jetty-http,9.4.2.v20170220,"Apache Software License - Version 2.0,Eclipse Public License - Version 1.0",",",Not approved,Gradle,""
org.eclipse.jetty:jetty-io,9.4.2.v20170220,"Apache Software License - Version 2.0,Eclipse Public License - Version 1.0",",",Not approved,Gradle,""
org.eclipse.jetty:jetty-security,9.4.2.v20170220,"Apache Software License - Version 2.0,Eclipse Public License - Version 1.0",",",Not approved,Gradle,""
org.eclipse.jetty:jetty-server,9.4.2.v20170220,"Apache Software License - Version 2.0,Eclipse Public License - Version 1.0",",",Not approved,Gradle,""
